"quarter","channel","year","revenue","customers","conversion_rate","region"
"Q1","Online","2023",314019,1200,3.9,"North"
"Q2","Online","2023",288825,1340,3.4,"South"
"Q3","Online","2023",296739,1405,2.9,"East"
"Q4","Online","2023",287699,1241,3.6,"West"
"Q1","Online","2023",351721,1441,NA,"North"
"Q2","Online","2023",324090,1647,3.8,"South"
"Q3","Online","2023",348699,1650,3.4,"East"
"Q4","Online","2023",328609,1556,3.7,"West"
"Q1","Online","2023",368558,1524,4.3,"North"
"Q2","Online","2023",362724,1690,3.6,"South"
"Q3","Online","2023",351223,1531,3.1,"East"
"Q4","Online","2023",373712,1737,3.7,"West"
"Q1","Online","2023",412125,1613,4.4,"North"
"Q2","Online","2023",387417,1710,3.3,"South"
"Q3","Online","2023",390764,1861,4.2,"East"
"Q4","Online","2023",384206,1807,3.3,"West"
"Q1","Mobile","2023",211417,1045,2.5,"North"
"Q2","Mobile","2023",204608,1041,2.3,"South"
"Q3","Mobile","2023",180102,1086,2.6,"East"
"Q4","Mobile","2023",190348,1023,2.8,"West"
"Q1","Mobile","2023",266939,1261,2.5,"North"
"Q2","Mobile","2023",235896,1213,2.7,"South"
"Q3","Mobile","2023",250002,1293,NA,"East"
"Q4","Mobile","2023",230015,1094,4,"West"
"Q1","Mobile","2024",293755,1205,3.6,"North"
"Q2","Mobile","2024",274231,1451,2.4,"South"
"Q3","Mobile","2024",285489,1470,3.8,"East"
"Q4","Mobile","2024",260148,1233,3.2,"West"
"Q1","Mobile","2024",319670,1487,3,"North"
"Q2","Mobile","2024",325217,1553,2.3,"South"
"Q3","Mobile","2024",313308,1567,3.2,"East"
"Q4","Mobile","2024",316911,1427,2.3,"West"
"Q1","Retail","2024",164815,603,4.5,"North"
"Q2","Retail","2024",165877,490,5.4,"South"
"Q3","Retail","2024",174395,642,5.2,"East"
"Q4","Retail","2024",185884,515,4.4,"West"
"Q1","Retail","2024",182472,495,4.4,"North"
"Q2","Retail","2024",170304,591,5.2,"South"
"Q3","Retail","2024",169712,537,6.4,"East"
"Q4","Retail","2024",181452,464,4.8,"West"
"Q1","Retail","2024",156781,521,NA,"North"
"Q2","Retail","2024",158618,536,4.7,"South"
"Q3","Retail","2024",178664,490,5.3,"East"
"Q4","Retail","2024",172969,619,4.1,"West"
"Q1","Retail","2024",150231,433,6,"North"
"Q2","Retail","2024",166063,581,4.3,"South"
"Q3","Retail","2024",152452,543,5.3,"East"
"Q4","Retail","2024",162334,613,5.4,"West"
